inputLeft outputLeft inputRight outputRight

0 0 0 0 
0 0 0 0 
0 -32255 0 -32255 
0 -32255 0 -32255 
-1299 -32127 -1281 -32127 
-1299 -32127 -1281 -32127 
-1298 -31999 -1283 -31999 
-1298 -31999 -1283 -31999 
-1302 -31871 -1284 -31871 
-1302 -31871 -1284 -31871 
-1303 -31743 -1283 -31743 
-1303 -31743 -1283 -31743 
-1304 -31615 -1283 -31615 
-1304 -31615 -1283 -31615 
-1304 -31487 -1282 -31487 
-1304 -31487 -1282 -31487 
-1303 -31359 -1282 -31359 
-1303 -31359 -1282 -31359 
-1300 -31231 -1282 -31231 
-1300 -31231 -1282 -31231 
-1301 -31103 -1281 -31103 
-1301 -31103 -1281 -31103 
-1300 -30975 -1280 -30975 
-1300 -30975 -1280 -30975 
-1299 -30847 -1280 -30847 
-1299 -30847 -1280 -30847 
-1298 -30719 -1280 -30719 
-1298 -30719 -1280 -30719 
-1298 -30591 -1280 -30591 
-1298 -30591 -1280 -30591 
-1299 -30463 -1280 -30463 
-1299 -30463 -1280 -30463 
-1297 -30335 -1280 -30335 
-1297 -30335 -1280 -30335 
-1296 -30207 -1280 -30207 
-1296 -30207 -1280 -30207 
-1296 -30079 -1279 -30079 
-1296 -30079 -1279 -30079 
-1296 -29951 -1279 -29951 
-1296 -29951 -1279 -29951 
-1294 -29823 -1278 -29823 
-1294 -29823 -1278 -29823 
-1294 -29695 -1278 -29695 
-1294 -29695 -1278 -29695 
-1295 -29567 -1277 -29567 
-1295 -29567 -1277 -29567 
-1294 -29439 -1277 -29439 
-1294 -29439 -1277 -29439 
-1293 -29311 -1277 -29311 
-1293 -29311 -1277 -29311 
-1292 -29183 -1277 -29183 
-1292 -29183 -1277 -29183 
-1292 -29055 -1276 -29055 
-1292 -29055 -1276 -29055 
-1292 -28927 -1278 -28927 
-1292 -28927 -1278 -28927 
-1292 -28799 -1276 -28799 
-1292 -28799 -1276 -28799 
-1292 -28671 -1276 -28671 
-1292 -28671 -1276 -28671 
-1292 -28543 -1276 -28543 
-1292 -28543 -1276 -28543 
-1290 -28415 -1274 -28415 
-1290 -28415 -1274 -28415 
-1289 -28287 -1275 -28287 
-1289 -28287 -1275 -28287 
-1289 -28159 -1272 -28159 
-1289 -28159 -1272 -28159 
-1288 -28031 -1272 -28031 
-1288 -28031 -1272 -28031 
-1288 -27903 -1271 -27903 
-1288 -27903 -1271 -27903 
-1288 -27775 -1271 -27775 
-1288 -27775 -1271 -27775 
-1287 -27647 -1271 -27647 
-1287 -27647 -1271 -27647 
-1286 -27519 -1270 -27519 
-1286 -27519 -1270 -27519 
-1284 -27391 -1271 -27391 
-1284 -27391 -1271 -27391 
