inputLeft outputLeft inputRight outputRight

0 0 0 0 
0 0 0 0 
0 -32255 0 -32255 
0 -32255 0 -32255 
-1291 -32127 -1257 -32127 
-1291 -32127 -1257 -32127 
-1290 -31999 -1255 -31999 
-1290 -31999 -1255 -31999 
-1290 -31871 -1257 -31871 
-1290 -31871 -1257 -31871 
-1290 -31743 -1258 -31743 
-1290 -31743 -1258 -31743 
-1290 -31615 -1257 -31615 
-1290 -31615 -1257 -31615 
-1290 -31487 -1257 -31487 
-1290 -31487 -1257 -31487 
-1290 -31359 -1257 -31359 
-1290 -31359 -1257 -31359 
-1289 -31231 -1256 -31231 
-1289 -31231 -1256 -31231 
-1289 -31103 -1254 -31103 
-1289 -31103 -1254 -31103 
-1288 -30975 -1254 -30975 
-1288 -30975 -1254 -30975 
-1287 -30847 -1255 -30847 
-1287 -30847 -1255 -30847 
-1287 -30719 -1254 -30719 
-1287 -30719 -1254 -30719 
-1286 -30591 -1253 -30591 
-1286 -30591 -1253 -30591 
-1286 -30463 -1251 -30463 
-1286 -30463 -1251 -30463 
-1286 -30335 -1253 -30335 
-1286 -30335 -1253 -30335 
-1283 -30207 -1252 -30207 
-1283 -30207 -1252 -30207 
-1283 -30079 -1254 -30079 
-1283 -30079 -1254 -30079 
-1284 -29951 -1253 -29951 
-1284 -29951 -1253 -29951 
-1284 -29823 -1252 -29823 
-1284 -29823 -1252 -29823 
-1281 -29695 -1249 -29695 
-1281 -29695 -1249 -29695 
-1283 -29567 -1251 -29567 
-1283 -29567 -1251 -29567 
-1283 -29439 -1251 -29439 
-1283 -29439 -1251 -29439 
-1282 -29311 -1251 -29311 
-1282 -29311 -1251 -29311 
-1282 -29183 -1251 -29183 
-1282 -29183 -1251 -29183 
-1279 -29055 -1247 -29055 
-1279 -29055 -1247 -29055 
-1280 -28927 -1248 -28927 
-1280 -28927 -1248 -28927 
-1279 -28799 -1248 -28799 
-1279 -28799 -1248 -28799 
-1279 -28671 -1247 -28671 
-1279 -28671 -1247 -28671 
-1278 -28543 -1246 -28543 
-1278 -28543 -1246 -28543 
-1276 -28415 -1245 -28415 
-1276 -28415 -1245 -28415 
-1276 -28287 -1247 -28287 
-1276 -28287 -1247 -28287 
-1277 -28159 -1246 -28159 
-1277 -28159 -1246 -28159 
-1275 -28031 -1244 -28031 
-1275 -28031 -1244 -28031 
-1276 -27903 -1245 -27903 
-1276 -27903 -1245 -27903 
-1274 -27775 -1243 -27775 
-1274 -27775 -1243 -27775 
-1276 -27647 -1244 -27647 
-1276 -27647 -1244 -27647 
-1276 -27519 -1245 -27519 
-1276 -27519 -1245 -27519 
-1274 -27391 -1244 -27391 
-1274 -27391 -1244 -27391 
