inputLeft outputLeft inputRight outputRight
-1255 -20479 -1218 -20479 
-1255 -20479 -1218 -20479 
-1253 -20351 -1217 -20351 
-1253 -20351 -1217 -20351 
-1254 -20223 -1219 -20223 
-1254 -20223 -1219 -20223 
-1252 -20095 -1218 -20095 
-1252 -20095 -1218 -20095 
-1253 -19967 -1215 -19967 
-1253 -19967 -1215 -19967 
-1252 -19839 -1214 -19839 
-1252 -19839 -1214 -19839 
-1251 -19711 -1215 -19711 
-1251 -19711 -1215 -19711 
-1249 -19583 -1209 -19583 
-1249 -19583 -1209 -19583 
-1248 -19455 -1210 -19455 
-1248 -19455 -1210 -19455 
-1247 -19327 -1210 -19327 
-1247 -19327 -1210 -19327 
-1247 -19199 -1210 -19199 
-1247 -19199 -1210 -19199 
-1245 -19071 -1210 -19071 
-1245 -19071 -1210 -19071 
-1244 -18943 -1207 -18943 
-1244 -18943 -1207 -18943 
-1245 -18815 -1206 -18815 
-1245 -18815 -1206 -18815 
-1242 -18687 -1205 -18687 
-1242 -18687 -1205 -18687 
-1240 -18559 -1205 -18559 
-1240 -18559 -1205 -18559 
-1239 -18431 -1201 -18431 
-1239 -18431 -1201 -18431 
-1240 -18303 -1201 -18303 
-1240 -18303 -1201 -18303 
-1239 -18175 -1200 -18175 
-1239 -18175 -1200 -18175 
-1237 -18047 -1199 -18047 
-1237 -18047 -1199 -18047 
-1235 -17919 -1196 -17919 
-1235 -17919 -1196 -17919 
-1234 -17791 -1196 -17791 
-1234 -17791 -1196 -17791 
-1231 -17663 -1193 -17663 
-1231 -17663 -1193 -17663 
-1231 -17535 -1190 -17535 
-1231 -17535 -1190 -17535 
-1229 -17407 -1187 -17407 
-1229 -17407 -1187 -17407 
-1229 -17279 -1184 -17279 
-1229 -17279 -1184 -17279 
-1226 -17151 -1185 -17151 
-1226 -17151 -1185 -17151 
-1226 -17023 -1182 -17023 
-1226 -17023 -1182 -17023 
-1225 -16895 -1181 -16895 
-1225 -16895 -1181 -16895 
-1223 -16767 -1178 -16767 
-1223 -16767 -1178 -16767 
-1222 -16639 -1175 -16639 
-1222 -16639 -1175 -16639 
-1220 -16511 -1174 -16511 
-1220 -16511 -1174 -16511 
-1218 -16383 -1175 -16383 
-1218 -16383 -1175 -16383 
-1218 -16255 -1174 -16255 
-1218 -16255 -1174 -16255 
-1214 -16127 -1172 -16127 
-1214 -16127 -1172 -16127 
-1210 -15999 -1172 -15999 
-1210 -15999 -1172 -15999 
-1210 -15871 -1169 -15871 
-1210 -15871 -1169 -15871 
-1210 -15743 -1168 -15743 
-1210 -15743 -1168 -15743 
-1210 -15615 -1168 -15615 
-1210 -15615 -1168 -15615 
-1209 -15487 -1164 -15487 
-1209 -15487 -1164 -15487 
-1205 -15359 -1165 -15359 
-1205 -15359 -1165 -15359 
-1202 -15231 -1164 -15231 
-1202 -15231 -1164 -15231 
-1201 -15103 -1163 -15103 
-1201 -15103 -1163 -15103 
-1200 -14975 -1160 -14975 
-1200 -14975 -1160 -14975 
-1197 -14847 -1156 -14847 
-1197 -14847 -1156 -14847 
-1194 -14719 -1156 -14719 
-1194 -14719 -1156 -14719 
-1192 -14591 -1156 -14591 
-1192 -14591 -1156 -14591 
-1188 -14463 -1152 -14463 
-1188 -14463 -1152 -14463 
-1186 -14335 -1149 -14335 
-1186 -14335 -1149 -14335 
-1185 -14207 -1148 -14207 
-1185 -14207 -1148 -14207 
-1182 -14079 -1144 -14079 
-1182 -14079 -1144 -14079 
-1180 -13951 -1146 -13951 
-1180 -13951 -1146 -13951 
-1179 -13823 -1137 -13823 
-1179 -13823 -1137 -13823 
-1176 -13695 -1136 -13695 
-1176 -13695 -1136 -13695 
-1172 -13567 -1130 -13567 
-1172 -13567 -1130 -13567 
-1171 -13439 -1129 -13439 
-1171 -13439 -1129 -13439 
-1168 -13311 -1128 -13311 
-1168 -13311 -1128 -13311 
-1164 -13183 -1123 -13183 
-1164 -13183 -1123 -13183 
-1164 -13055 -1123 -13055 
-1164 -13055 -1123 -13055 
-1159 -12927 -1118 -12927 
-1159 -12927 -1118 -12927 
-1157 -12799 -1120 -12799 
-1157 -12799 -1120 -12799 
-1153 -12671 -1113 -12671 
-1153 -12671 -1113 -12671 
-1150 -12543 -1112 -12543 
-1150 -12543 -1112 -12543 
-1146 -12415 -1108 -12415 
-1146 -12415 -1108 -12415 
-1145 -12287 -1104 -12287 
-1145 -12287 -1104 -12287 
-1138 -12159 -1101 -12159 
-1138 -12159 -1101 -12159 
-1138 -12031 -1096 -12031 
-1138 -12031 -1096 -12031 
-1135 -11903 -1088 -11903 
-1135 -11903 -1088 -11903 
-1131 -11775 -1089 -11775 
-1131 -11775 -1089 -11775 
-1127 -11647 -1089 -11647 
-1127 -11647 -1089 -11647 
-1123 -11519 -1089 -11519 
-1123 -11519 -1089 -11519 
-1120 -11391 -1088 -11391 
-1120 -11391 -1088 -11391 
-1115 -11263 -1067 -11263 
-1115 -11263 -1067 -11263 
-1111 -11135 -1064 -11135 
-1111 -11135 -1064 -11135 
-1109 -11007 -1060 -11007 
-1109 -11007 -1060 -11007 
-1105 -10879 -1055 -10879 
-1105 -10879 -1055 -10879 
-1101 -10751 -1053 -10751 
-1101 -10751 -1053 -10751 
-1096 -10623 -1045 -10623 
-1096 -10623 -1045 -10623 
-1089 -10495 -1038 -10495 
-1089 -10495 -1038 -10495 
-1088 -10367 -1033 -10367 
-1088 -10367 -1033 -10367 
-1089 -10239 -1028 -10239 
-1089 -10239 -1028 -10239 
-1089 -10111 -1024 -10111 
-1089 -10111 -1024 -10111 
-1088 -9983 -1018 -9983 
-1088 -9983 -1018 -9983 
-1067 -9855 -1014 -9855 
-1067 -9855 -1014 -9855 
-1064 -9727 -1010 -9727 
-1064 -9727 -1010 -9727 
-1058 -9599 -1007 -9599 
-1058 -9599 -1007 -9599 
-1052 -9471 -1000 -9471 
-1052 -9471 -1000 -9471 
-1046 -9343 -998 -9343 
-1046 -9343 -998 -9343 
-1041 -9215 -991 -9215 
-1041 -9215 -991 -9215 
-1035 -9087 -984 -9087 
-1035 -9087 -984 -9087 
-1029 -8959 -975 -8959 
-1029 -8959 -975 -8959 
-1023 -8831 -970 -8831 
-1023 -8831 -970 -8831 
-1016 -8703 -961 -8703 
-1016 -8703 -961 -8703 
-1010 -8575 -956 -8575 
-1010 -8575 -956 -8575 
-1002 -8447 -948 -8447 
-1002 -8447 -948 -8447 
-997 -8319 -941 -8319 
-997 -8319 -941 -8319 
-992 -8191 -932 -8191 
-992 -8191 -932 -8191 
-985 -8063 -926 -8063 
-985 -8063 -926 -8063 
-977 -7935 -916 -7935 
-977 -7935 -916 -7935 
-967 -7807 -907 -7807 
-967 -7807 -907 -7807 
-968 -7679 -901 -7679 
-968 -7679 -901 -7679 
-954 -7551 -897 -7551 
-954 -7551 -897 -7551 
-944 -7423 -892 -7423 
-944 -7423 -892 -7423 
-934 -7295 -884 -7295 
-934 -7295 -884 -7295 
-926 -7167 -882 -7167 
-926 -7167 -882 -7167 
-916 -7039 -870 -7039 
-916 -7039 -870 -7039 
-907 -6911 -850 -6911 
-907 -6911 -850 -6911 
-896 -6783 -843 -6783 
-896 -6783 -843 -6783 
-885 -6655 -830 -6655 
-885 -6655 -830 -6655 
-875 -6527 -820 -6527 
-875 -6527 -820 -6527 
-864 -6399 -809 -6399 
-864 -6399 -809 -6399 
-854 -6271 -796 -6271 
-854 -6271 -796 -6271 
-840 -6143 -784 -6143 
-840 -6143 -784 -6143 
-827 -6015 -770 -6015 
-827 -6015 -770 -6015 
-814 -5887 -757 -5887 
-814 -5887 -757 -5887 
-803 -5759 -746 -5759 
-803 -5759 -746 -5759 
-787 -5631 -725 -5631 
-787 -5631 -725 -5631 
-773 -5503 -726 -5503 
-773 -5503 -726 -5503 
-756 -5375 -726 -5375 
-756 -5375 -726 -5375 
-743 -5247 -693 -5247 
-743 -5247 -693 -5247 
-726 -5119 -673 -5119 
-726 -5119 -673 -5119 
-726 -4991 -651 -4991 
-726 -4991 -651 -4991 
-699 -4863 -632 -4863 
-699 -4863 -632 -4863 
-680 -4735 -618 -4735 
-680 -4735 -618 -4735 
-657 -4607 -600 -4607 
-657 -4607 -600 -4607 
-637 -4479 -582 -4479 
-637 -4479 -582 -4479 
-619 -4351 -562 -4351 
-619 -4351 -562 -4351 
-585 -4223 -545 -4223 
-585 -4223 -545 -4223 
-569 -4095 -521 -4095 
-569 -4095 -521 -4095 
-549 -3967 -504 -3967 
-549 -3967 -504 -3967 
-532 -3839 -484 -3839 
-532 -3839 -484 -3839 
-510 -3711 -463 -3711 
-510 -3711 -463 -3711 
-492 -3583 -444 -3583 
-492 -3583 -444 -3583 
-472 -3455 -421 -3455 
-472 -3455 -421 -3455 
-453 -3327 -399 -3327 
-453 -3327 -399 -3327 
-436 -3199 -376 -3199 
-436 -3199 -376 -3199 
-416 -3071 -352 -3071 
-416 -3071 -352 -3071 
-395 -2943 -327 -2943 
-395 -2943 -327 -2943 
-372 -2815 -303 -2815 
-372 -2815 -303 -2815 
-351 -2687 -280 -2687 
-351 -2687 -280 -2687 
-329 -2559 -260 -2559 
-329 -2559 -260 -2559 
-307 -2431 -238 -2431 
-307 -2431 -238 -2431 
-282 -2303 -216 -2303 
-282 -2303 -216 -2303 
-259 -2175 -203 -2175 
-259 -2175 -203 -2175 
-234 -2047 -184 -2047 
-234 -2047 -184 -2047 
-210 -1919 -159 -1919 
-210 -1919 -159 -1919 
-186 -1791 -139 -1791 
-186 -1791 -139 -1791 
-161 -1663 -119 -1663 
-161 -1663 -119 -1663 
-138 -1535 -99 -1535 
-138 -1535 -99 -1535 
-114 -1407 -78 -1407 
-114 -1407 -78 -1407 
-93 -1279 -60 -1279 
-93 -1279 -60 -1279 
-73 -1151 -44 -1151 
-73 -1151 -44 -1151 
-54 -1023 -25 -1023 
-54 -1023 -25 -1023 
-35 -895 0 -895 
-35 -895 0 -895 
0 -767 0 -767 
0 -767 0 -767 
0 -639 0 -639 
0 -639 0 -639 
0 -511 0 -511 
0 -511 0 -511 
0 -383 0 -383 
0 -383 0 -383 
0 -255 0 -255 
0 -255 0 -255 
0 -127 0 -127 
0 -127 0 -127 
0 1 0 1 
0 1 0 1 
0 129 0 129 
0 129 0 129 
0 257 0 257 
0 257 0 257 
0 385 0 385 
0 385 0 385 
0 513 0 513 
0 513 0 513 
0 641 0 641 
0 641 0 641 
0 769 0 769 
0 769 0 769 
0 897 0 897 
0 897 0 897 
0 1025 0 1025 
0 1025 0 1025 
66 1153 55 1153 
66 1153 55 1153 
96 1281 71 1281 
96 1281 71 1281 
117 1409 90 1409 
117 1409 90 1409 
136 1537 109 1537 
136 1537 109 1537 
156 1665 128 1665 
156 1665 128 1665 
178 1793 148 1793 
178 1793 148 1793 
202 1921 168 1921 
202 1921 168 1921 
225 2049 187 2049 
225 2049 187 2049 
245 2177 207 2177 
245 2177 207 2177 
268 2305 229 2305 
268 2305 229 2305 
290 2433 248 2433 
290 2433 248 2433 
311 2561 265 2561 
311 2561 265 2561 
330 2689 285 2689 
330 2689 285 2689 
352 2817 306 2817 
352 2817 306 2817 
372 2945 326 2945 
372 2945 326 2945 
390 3073 344 3073 
390 3073 344 3073 
411 3201 363 3201 
411 3201 363 3201 
429 3329 383 3329 
429 3329 383 3329 
449 3457 404 3457 
449 3457 404 3457 
467 3585 423 3585 
467 3585 423 3585 
484 3713 441 3713 
484 3713 441 3713 
510 3841 461 3841 
510 3841 461 3841 
532 3969 474 3969 
532 3969 474 3969 
551 4097 491 4097 
551 4097 491 4097 
570 4225 511 4225 
570 4225 511 4225 
585 4353 527 4353 
585 4353 527 4353 
601 4481 543 4481 
601 4481 543 4481 
616 4609 564 4609 
616 4609 564 4609 
629 4737 584 4737 
629 4737 584 4737 
641 4865 607 4865 
641 4865 607 4865 
653 4993 618 4993 
653 4993 618 4993 
662 5121 637 5121 
662 5121 637 5121 
675 5249 646 5249 
675 5249 646 5249 
688 5377 655 5377 
688 5377 655 5377 
700 5505 665 5505 
700 5505 665 5505 
721 5633 681 5633 
721 5633 681 5633 
790 5761 697 5761 
790 5761 697 5761 
802 5889 714 5889 
802 5889 714 5889 
816 6017 726 6017 
816 6017 726 6017 
832 6145 725 6145 
832 6145 725 6145 
841 6273 760 6273 
841 6273 760 6273 
857 6401 777 6401 
857 6401 777 6401 
871 6529 791 6529 
871 6529 791 6529 
881 6657 795 6657 
881 6657 795 6657 
891 6785 806 6785 
891 6785 806 6785 
907 6913 822 6913 
907 6913 822 6913 
913 7041 840 7041 
913 7041 840 7041 
922 7169 848 7169 
922 7169 848 7169 
934 7297 859 7297 
934 7297 859 7297 
942 7425 868 7425 
942 7425 868 7425 
953 7553 876 7553 
953 7553 876 7553 
961 7681 886 7681 
961 7681 886 7681 
968 7809 898 7809 
968 7809 898 7809 
974 7937 907 7937 
974 7937 907 7937 
985 8065 918 8065 
985 8065 918 8065 
993 8193 921 8193 
993 8193 921 8193 
997 8321 931 8321 
997 8321 931 8321 
1006 8449 939 8449 
1006 8449 939 8449 
1015 8577 947 8577 
1015 8577 947 8577 
1022 8705 953 8705 
1022 8705 953 8705 
1028 8833 957 8833 
1028 8833 957 8833 
1036 8961 963 8961 
1036 8961 963 8961 
1037 9089 969 9089 
1037 9089 969 9089 
1043 9217 978 9217 
1043 9217 978 9217 
1049 9345 989 9345 
1049 9345 989 9345 
1059 9473 990 9473 
1059 9473 990 9473 
1064 9601 999 9601 
1064 9601 999 9601 
1069 9729 1008 9729 
1069 9729 1008 9729 
1070 9857 1013 9857 
1070 9857 1013 9857 
1080 9985 1016 9985 
1080 9985 1016 9985 
1089 10113 1021 10113 
1089 10113 1021 10113 
1089 10241 1031 10241 
1089 10241 1031 10241 
1088 10369 1034 10369 
1088 10369 1034 10369 
1089 10497 1041 10497 
1089 10497 1041 10497 
1089 10625 1047 10625 
1089 10625 1047 10625 
